Curriculum,Electrical Engineering,,,,,,,,,
Degree Plan,Electrical Engineering/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,14.1001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ECE 5 / ECE 15,ECE,5,,,,4,,,1
2,MATH 20A,MATH,20A,,,,4,,,1
3,ECE 25,ECE,25,,,,4,,,2
5,ECE 15 / ECE 5,ECE,15,,,,4,,,2
4,MATH 20B,MATH,20B,2,,,4,,,2
7,ECE 30,ECE,30,5;3,,,4,,,3
6,MATH 18,MATH,18,,,,4,,,3
8,PHYS 2A,PHYS,2A,2;2,,,4,,,3
11,ECE 35,ECE,35,6;2;4;8,,,4,,,4
9,PHYS 2B,PHYS,2B,8;4,,,4,,,4
10,MATH 20C,MATH,20C,4,,,4,,,4
12,CHEM 6A,CHEM,6A,2,,,4,,,4
13,ECE 45,ECE,45,11,,,4,,,5
14,PHYS 2C,PHYS,2C,8;10,,,4,,,5
15,MATH 20D,MATH,20D,10;6,,,4,,,5
18,ECE 65,ECE,65,1;11,,,4,,,6
16,PHYS 2D,PHYS,2D,8;9;15,,,4,,,6
17,MATH 20E,MATH,20E,6;10,,,4,,,6
19,ECE 101,ECE,101,13,,,4,,,7
20,ECE 103,ECE,103,18;16;16,,,4,,,7
21,ECE 100,ECE,100,13;18,,,4,,,7
22,ECE 102,ECE,102,18;21,,,4,,,8
23,ECE 109,ECE,109,2;4;10;15;6,,,4,,,8
24,ECE 107,ECE,107,8;9;14;13,,,4,,,8
25,ECE 165,ECE,165,22,,,4,,,9
33,PROFESSIONAL ELECTIVE 1,,,,,,4,,,9
34,TECHNICAL ELECTIVE 1,,,,,,4,,,9
26,ECE 164,ECE,164,22,,,4,,,10
35,PROFESSIONAL ELECTIVE 2,,,,,,4,,,10
27,ECE 166,ECE,166,22;24,,,4,,,10
36,TECHNICAL ELECTIVE 2,,,,,,4,,,11
37,DESIGN,,,,,,4,,,11
38,TECHNICAL ELECTIVE 3,,,,,,4,,,11
39,TECHNICAL ELECTIVE 4,,,,,,4,,,12
40,TECHNICAL ELECTIVE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
28,MMW 11,MMW,11,,,,4,,,1
41,GE 1,,,,,,4,,,1
29,MMW 12,MMW,12,,,,6,,,2
30,MMW 13,MMW,13,29,,,6,,,3
31,MMW 14,MMW,14,29;30,,,4,,,5
32,MMW 15,MMW,15,29;30,,,4,,,6
42,GE / DEI,,,,,,4,,,7
43,GE 2,,,,,,4,,,8
44,GE 3,,,,,,4,,,9
45,GE 4,,,,,,4,,,10
46,GE 5,,,,,,4,,,11
47,GE 6,,,,,,4,,,12
48,GE 7,,,,,,4,,,12
