Curriculum,Computer Science,,,,,,,,,
Degree Plan,Computer Science/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CSE 8A,CSE,8A,,,,4,,,1
28,LOWER DIVISION ELECTIVE,,,,,,2,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
5,CSE 20,CSE,20,,,,4,,,2
4,CSE 8B,CSE,8B,2,,,4,,,2
6,MATH 20C,MATH,20C,3,,,4,,,3
7,CSE 21,CSE,21,5,,,4,,,3
9,CSE 15L,CSE,15L,4,,,2,,,3
8,CSE 12,CSE,12,4,,,4,,,3
29,CSE GENERAL SCIENCE 1,,,,,,4,,,4
10,CSE 30,CSE,30,8;9,,,4,,,4
11,CSE 100,CSE,100,7;8;9;10,,,4,,,5
30,CSE GENERAL SCIENCE 2,,,,,,4,,,5
12,MATH 20F,MATH,20F,6,,,4,,,5
13,CSE 101,CSE,101,8;7;11,,,4,,,6
14,CSE 110,CSE,110,8;7,,,4,,,6
31,CSE ELECTIVE 1,,,,,,4,,,6
32,CSE ELECTIVE 2,,,,,,4,,,7
15,CSE 140,CSE,140,5;10,,,4,,,7
16,CSE 140L,CSE,140L,5;10,,,2,,,7
17,CSE 141,CSE,141,15;16,,,4,,,8
18,CSE 141L,CSE,141L,15;16;14,,,2,,,8
33,CSE ELECTIVE 3,,,,,,4,,,8
19,CSE 120,CSE,120,10;13;14,,,4,,,9
34,CSE ELECTIVE 4,,,,,,4,,,9
20,CSE 105,CSE,105,8;9;7,,,4,,,9
35,CSE ELECTIVE 5,,,,,,4,,,10
21,CSE 130,CSE,130,8;11;20,,,4,,,10
22,CSE 131,CSE,131,21;11;20;14,,,4,,,11
36,CSE ELECTIVE 6,,,,,,4,,,12
37,CSE ELECTIVE 7,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
23,MMW 11,MMW,11,,,,4,,,1
38,GE 1,,,,,,4,,,1
24,MMW 12,MMW,12,,,,6,,,2
25,MMW 13,MMW,13,,,,6,,,3
26,MMW 14 / GE 1,MMW,14,24,,,4,,,4
39,MMW 14 / GE 2,MMW,14,24,,,4,,,5
27,MMW 15,MMW,15,24,,,4,,,6
40,GE / DEI,,,,,,4,,,7
41,GE 2,,,,,,4,,,8
42,GE 3,,,,,,4,,,10
43,ELECTIVE,,,,,,4,,,10
44,GE 4,,,,,,4,,,11
45,GE 5,,,,,,4,,,11
46,GE 6,,,,,,4,,,12
